Name,Type,Version,Date Appear,Author,Solve Date
Ground truth check and Charuco support in multiview_calibration.py,category: python bindings,5.0,2024-02-21 13:52:07+00:00,asmorkalov,2024-02-28 13:36:56+00:00
Adds missing const in function declaration of VideoCapture,category: videoio,4.10.0,2024-02-21 11:36:55+00:00,TinyTinni,2024-02-22 07:23:24+00:00
RegisterCameras function for heterogenious cameras pair,feature,5.0,2024-02-21 11:21:57+00:00,asmorkalov,2024-02-26 12:45:18+00:00
G-API: Make test execution lighter (first attempt),category: g-api / gapi,4.10.0,2024-02-21 11:21:36+00:00,dmatveev,2024-02-22 13:40:33+00:00
core: fix float16_t optimization condition,bug,4.10.0,2024-02-21 08:13:39+00:00,opencv-alalek,2024-02-24 10:28:05+00:00
WIP Disable offline mode for Gradle to update its cache,platform: android,Not specified,2024-02-21 06:24:27+00:00,asmorkalov,2024-02-21 16:30:57+00:00
Simple FaceDetectorYN speedup by pre-culling face bboxes?,optimization,Not specified,2024-02-21 05:27:39+00:00,wingman-jr-addon,2024-02-27 09:10:54+00:00
G-API: A quick value-initialization support GMat,category: g-api / gapi,4.10.0,2024-02-21 01:13:29+00:00,dmatveev,2024-03-06 14:15:49+00:00
G-API: Lower supported IE backend version,category: g-api / gapi,4.10.0,2024-02-20 17:10:48+00:00,TolyaTalamanov,2024-02-21 08:45:36+00:00
InferROI.TestStreamingInfer test hangs on CI in OpenVINO configuration,bug,4.10.0,2024-02-20 16:47:30+00:00,asmorkalov,2024-04-10 13:31:23+00:00
Build opencv.js  error in 4.8.0 release,bug,Not specified,2024-02-20 03:34:00+00:00,1009058470,2024-02-21 06:35:43+00:00
Handle degenerate cases in RQDecomp3x3,category: calib3d,4.10.0,2024-02-19 21:03:03+00:00,akretz,2024-02-27 05:10:21+00:00
docs: move detail section of group to the top of the page,category: documentation,4.10.0,2024-02-19 08:13:57+00:00,opencv-alalek,2024-02-20 12:13:03+00:00
"fix setArucoParameters in QRCodeDetectorAruco, add const to getArucoParameters ",bug,4.10.0,2024-02-18 21:24:58+00:00,AleksandrPanov,2024-02-20 06:29:58+00:00
fix unnecessary copying in ArucoDetector,optimization,4.10.0,2024-02-18 21:01:07+00:00,AleksandrPanov,2024-02-19 06:53:12+00:00
Fix testMahalanobis,test,4.10.0,2024-02-18 19:25:10+00:00,akretz,2024-02-19 09:58:23+00:00
Documentation transition to fresh Doxygen,category: documentation,4.10.0,2024-02-16 20:34:19+00:00,mshabunin,2024-03-05 13:19:46+00:00
(5.x) Merge 4.x,Uncategorized,5.0,2024-02-16 16:19:47+00:00,asmorkalov,2024-02-19 08:47:17+00:00
OpenCV v4.5.4 : Segfault on exit with cv::imwrite example,wontfix,Not specified,2024-02-16 11:20:27+00:00,dennis-glx,2024-02-16 13:22:30+00:00
Reverted Compensate edge length in ChessBoardDetector::generateQuads #24833,category: calib3d,4.10.0,2024-02-16 09:13:55+00:00,asmorkalov,2024-02-16 11:08:37+00:00
Fix barcode detectAndDecode,bug,4.10.0,2024-02-15 19:46:14+00:00,AleksandrPanov,2024-02-16 13:37:49+00:00
Extend OpenCV HAL multiply with signed and unsigned cases,feature,4.10.0,2024-02-15 17:36:22+00:00,asmorkalov,2024-05-20 07:43:20+00:00
Can't parse layer of type='Pack',bug,4.10.0,2024-02-15 14:30:01+00:00,LaurentBerger,2024-04-19 13:19:53+00:00
Changed initial estimation for F in fisheye calibration,bug,4.10.0,2024-02-15 13:27:50+00:00,asmorkalov,2024-02-16 14:18:43+00:00
solvePnP implementation for Fisheye camera model,feature,4.10.0,2024-02-15 08:09:50+00:00,asmorkalov,2024-02-16 14:54:40+00:00
Fix qrcode bugs,bug,4.10.0,2024-02-14 22:38:59+00:00,akretz,2024-02-16 13:09:05+00:00
Replace legacy __ARM_NEON__ by __ARM_NEON,category: build/install,4.10.0,2024-02-14 13:26:54+00:00,vrabaud,2024-02-20 08:29:23+00:00
Typo fix in Aruco documentation,category: documentation,4.10.0,2024-02-14 13:12:54+00:00,asmorkalov,2024-02-15 09:21:43+00:00
Multiview calibration generator improvements,category: calib3d,5.0,2024-02-14 12:20:21+00:00,asmorkalov,2024-02-20 12:15:17+00:00
Remove 3 hidden leading chars in flann/dist.h,category: build/install,4.10.0,2024-02-14 10:47:09+00:00,y-guyon,2024-02-15 06:06:07+00:00
Move ml to opencv_contrib,category: ml,5.0,2024-02-13 13:52:56+00:00,kaingwade,2024-02-27 12:54:08+00:00
Suppress TBB compilation warnings visible during Android SDK build,category: build/install,4.10.0,2024-02-13 12:20:45+00:00,asmorkalov,2024-02-14 06:36:03+00:00
Fixed possible out-of-bound access in cv::Mat output formatter,bug,5.0,2024-02-13 11:40:27+00:00,asmorkalov,2024-02-14 06:33:21+00:00
(4.x) Merge 3.4,Uncategorized,4.10.0,2024-02-12 18:13:53+00:00,opencv-alalek,2024-02-12 19:24:10+00:00
Alternative solution for QR code black/white balance computation,category: objdetect,4.10.0,2024-02-12 17:43:15+00:00,asmorkalov,2024-02-13 14:01:17+00:00
Fix typo in size,category: python bindings,4.10.0,2024-02-12 17:35:34+00:00,Lollyrana,2024-02-13 05:54:45+00:00
Clean Objdetect module,feature,5.0,2024-02-12 14:11:19+00:00,vpisarev,2024-03-29 07:45:24+00:00
Move ML module to opencv_contrib,feature,5.0,2024-02-12 12:05:13+00:00,vpisarev,2024-02-28 15:25:19+00:00
Relax test requirements for CUDA in DNNTestNetwork.FastNeuraStyle_eccv16,category: gpu/cuda (contrib),5.0,2024-02-12 11:48:47+00:00,asmorkalov,2024-02-12 13:37:57+00:00
ts: Extended getTypeName() to support new types,test,5.0,2024-02-12 08:59:38+00:00,Kumataro,2024-02-12 12:32:52+00:00
5.x : ts : getTypeName() risks out-of-bounds memory access(Low risk).,bug,Not specified,2024-02-12 08:54:21+00:00,Kumataro,2024-02-12 13:27:21+00:00
Recent clang change results in build failure on macOS,bug,4.10.0,2024-02-12 04:40:32+00:00,seanm,2024-05-30 16:05:26+00:00
remove bypass for ABI check in warpPointBackward,category: stitching,5.0,2024-02-11 13:41:38+00:00,zteffi,2024-02-16 13:27:30+00:00
- Build openVINO in openSUSE - cabelo@opensuse.org,Uncategorized,Not specified,2024-02-11 03:51:53+00:00,cabelo,2024-02-11 06:11:45+00:00
bug fix infinite loop,bug,4.10.0,2024-02-10 23:58:30+00:00,ivashmak,2024-02-12 07:16:19+00:00
Fixes #24974 support HardSwishInt8,feature,4.10.0,2024-02-09 16:44:53+00:00,Dhanwanth1803,2024-02-16 15:19:29+00:00
Update of IPP integration,optimization,4.10.0,2024-02-09 13:06:35+00:00,eplankin,2024-02-12 18:06:29+00:00
DNN module fails to compile against cuDNN 9.0,bug,4.10.0,2024-02-09 06:09:22+00:00,cudawarped,2024-05-28 11:14:09+00:00
5.x merge 4.x,Uncategorized,5.0,2024-02-08 12:55:23+00:00,asmorkalov,2024-02-12 12:31:19+00:00
dnn cleanup: On-fly-quantization removal,category: dnn,5.0,2024-02-08 10:24:12+00:00,fengyuentau,2024-02-16 15:21:45+00:00
Primitive 1D Tests,test,5.0,2024-02-08 08:21:46+00:00,Abdurrahheem,2024-02-21 14:37:50+00:00
imgcodecs: refix test for 23416 to use perf::MatType,test,4.10.0,2024-02-08 03:39:56+00:00,Kumataro,2024-02-12 07:22:55+00:00
The definition of RotatedRect in python type hint is wrong.,bug,4.10.0,2024-02-08 01:35:59+00:00,ecneil,2024-02-13 05:54:46+00:00
"TFLite importer: add support for ""HardSwishInt8"" activation layer",feature,4.10.0,2024-02-07 08:14:10+00:00,dmartinez-quercus,2024-02-16 15:19:31+00:00
Fix proto and weights mess in dnn performance tests,test,4.10.0,2024-02-07 06:19:03+00:00,asmorkalov,2024-02-07 08:10:32+00:00
Test with OpenVINO models,Uncategorized,Not specified,2024-02-06 14:40:13+00:00,asmorkalov,2024-02-07 11:50:58+00:00
Allow multiple flags with OPENCV_GRADLE_VERBOSE_OPTIONS,category: build/install,4.10.0,2024-02-06 08:52:40+00:00,asmorkalov,2024-02-07 08:13:43+00:00
dnn (opencl): fix incorrect steps and elemsize when dtype changes,bug,4.10.0,2024-02-06 08:32:14+00:00,fengyuentau,2024-02-06 18:22:43+00:00
infinite loop in findEssentialMat with 4.9.0 conda,bug,4.10.0,2024-02-05 16:31:46+00:00,shteren1,2024-02-12 07:16:20+00:00
TFLite importer: add support to SPLIT operation,feature,4.10.0,2024-02-05 10:50:28+00:00,dmartinez-quercus,2024-03-29 08:21:15+00:00
findCirclesGrid can't detect rotated SYMMETRIC_GRID,bug,4.10.0,2024-02-05 09:21:03+00:00,AleksandrPanov,2024-03-26 14:23:06+00:00
Extended several core functions to support new types,Uncategorized,5.0,2024-02-05 01:54:10+00:00,vpisarev,2024-02-11 07:42:41+00:00
PLY mesh support,bug,5.0,2024-02-04 18:22:48+00:00,savuor,2024-02-12 12:34:54+00:00
PLY models with unknown vertex properties are loaded incorrectly,bug,5.0,2024-02-04 18:15:42+00:00,savuor,2024-02-12 19:39:56+00:00
Support for boolean protoTensors,Uncategorized,5.0,2024-02-04 12:48:48+00:00,Abdurrahheem,2024-05-13 11:42:01+00:00
5.x merge 4.x,Uncategorized,Not specified,2024-02-03 05:46:04+00:00,asmorkalov,2024-02-08 11:00:12+00:00
Added offline option for Android builds,category: build/install,4.10.0,2024-02-02 12:37:43+00:00,asmorkalov,2024-02-05 08:57:16+00:00
The picture of the previous operation will be displayed in the background on iOS 17,bug,Not specified,2024-02-02 12:23:30+00:00,EthanJhou,2024-02-07 06:57:51+00:00
OCL_FP16 target tests failed in CI linux64-avx2,bug,4.10.0,2024-02-02 06:39:01+00:00,WanliZhong,2024-02-06 18:22:44+00:00
Optimize findTransformECC() by removing redundant computations,Uncategorized,Not specified,2024-02-01 15:50:43+00:00,ysmz334,2024-02-05 15:21:47+00:00
error building 4.9.0 with MSVS,invalid,Not specified,2024-02-01 13:24:56+00:00,pattakosn,2024-02-07 13:47:59+00:00
Apple Privacy Info file ,feature,4.10.0,2024-02-01 07:19:19+00:00,Leon-OS,2024-04-13 08:01:50+00:00
mouse events didn't work with me on notebook python version,question (invalid tracker),Not specified,2024-01-31 21:56:41+00:00,MarwaMohammad,2024-01-31 22:15:35+00:00
Enable file system on Emscripten,category: build/install,4.10.0,2024-01-31 19:30:12+00:00,hoodmane,2024-02-02 12:50:15+00:00
Optimize findTransformECC() by removing redundant computations,Uncategorized,Not specified,2024-01-31 15:31:34+00:00,ysmz334,2024-02-01 14:43:38+00:00
Added job to test with real hardware,CI/CD: GitHub Actions (GHA),4.10.0,2024-01-31 12:06:27+00:00,asmorkalov,2024-01-31 12:12:09+00:00
"Added Kotlin test, changed Kotlin version for OpenCV",category: build/install,4.10.0,2024-01-31 11:17:10+00:00,alexlyulkov,2024-02-22 06:30:45+00:00
Build warning fix in Tutorial4-OpenCL.,category: build/install,4.10.0,2024-01-31 09:53:21+00:00,asmorkalov,2024-01-31 12:13:04+00:00
No signature of method: build_cwq1ym9kvvkr996bahjr043qz.android() is applicable for argument types: (build_cwq1ym9kvvkr996bahjr043qz$_run_closure1) values: [build_cwq1ym9kvvkr996bahjr043qz$_run_closure1@1fe21429],question (invalid tracker),Not specified,2024-01-31 07:58:01+00:00,MuhammadSibtain5099,2024-02-07 15:13:08+00:00
Build warning fix for Charuco tests,category: build/install,4.10.0,2024-01-30 15:20:23+00:00,asmorkalov,2024-01-31 06:48:50+00:00
1D Einsum layer output mismatch. ,category: dnn,5.0,2024-01-30 09:51:53+00:00,Abdurrahheem,2024-04-24 12:57:21+00:00
G-API OV backend requires cv::MediaFrame,feature,4.10.0,2024-01-29 12:38:43+00:00,DariaMityagina,2024-04-24 13:25:00+00:00
RISC-V: fix scale64f performance for RVV 0.7,optimization,4.10.0,2024-01-29 09:36:27+00:00,mshabunin,2024-01-29 14:32:51+00:00
fixes #24742 : Added test for adaptiveThreshold(),Uncategorized,Not specified,2024-01-28 19:59:02+00:00,Dhanwanth1803,2024-01-29 06:32:44+00:00
Add CMake policy CMP0071 for AUTOMOC and AUTOUIC,category: build/install,4.10.0,2024-01-28 17:14:31+00:00,GengGode,2024-02-02 12:48:43+00:00
Fix RANSAC RNG usage,bug,4.10.0,2024-01-28 16:25:19+00:00,JStech,2024-01-29 18:27:57+00:00
eigen2cv not working,question (invalid tracker),Not specified,2024-01-28 02:40:14+00:00,stefanaerospace,2024-01-28 03:25:53+00:00
RISC-V: fix mul 8/16 bit for RVV 0.7,optimization,4.10.0,2024-01-27 21:30:24+00:00,mshabunin,2024-01-29 06:33:18+00:00
Enable Android samples with native part with AAR package,category: build/install,4.10.0,2024-01-27 11:42:32+00:00,asmorkalov,2024-02-22 06:31:21+00:00
"Do not release user-provided buffer, if image decoder failed",feature,4.10.0,2024-01-27 10:35:34+00:00,asmorkalov,2024-01-29 14:33:42+00:00
How to create a Net object without using readNet?,feature,Not specified,2024-01-26 15:38:43+00:00,LaurentBerger,2024-04-17 19:12:01+00:00
A opencv.js bug in function floodFill,bug,Not specified,2024-01-26 09:33:03+00:00,1009058470,2024-01-27 09:02:56+00:00
Handle warnings in loongson-related code,category: build/install,4.10.0,2024-01-26 09:16:54+00:00,fengyuentau,2024-01-26 10:38:00+00:00
getOptimalNewCameraMatrix returns unstable results in opencv versions after 4.7.0,bug,Not specified,2024-01-26 01:10:28+00:00,cirvladimir,2024-01-31 18:44:08+00:00
Fix AAR build with static OpenCV libraries for Android.,category: build/install,5.0,2024-01-25 15:16:43+00:00,asmorkalov,2024-01-27 09:46:09+00:00
Fix link error caused by lack of moc in the cvv module during checked world,Uncategorized,Not specified,2024-01-25 08:23:28+00:00,GengGode,2024-01-28 16:50:38+00:00
Add anchors to Android documentation for external references,category: documentation,4.10.0,2024-01-25 07:32:11+00:00,asmorkalov,2024-01-25 09:07:16+00:00
Add python bindings for Rect2f and Point3i,category: python bindings,4.10.0,2024-01-24 15:48:06+00:00,asmorkalov,2024-01-29 14:36:30+00:00
core(OpenCL): optimize convertTo() with CV_16F (convertFp16() replacement),optimization,4.10.0,2024-01-24 12:03:12+00:00,opencv-alalek,2024-01-26 09:56:53+00:00
OpenCL: Device::halfFPConfig() > 0 check is not reliable,bug,4.10.0,2024-01-24 09:41:52+00:00,opencv-alalek,2024-05-21 08:47:48+00:00
floodFill with error Uncaught 6620760 in opencv.js,question (invalid tracker),Not specified,2024-01-24 03:43:12+00:00,1009058470,2024-01-31 02:34:22+00:00
raft support added in this sample code,category: samples,4.10.0,2024-01-23 15:28:52+00:00,usyntest,2024-01-29 14:37:52+00:00
5.x merge 4.x,Uncategorized,5.0,2024-01-23 15:22:33+00:00,asmorkalov,2024-01-24 11:02:34+00:00
Error in cv2.dnn.readNetFromTensorflow ,bug,4.10.0,2024-01-23 12:37:20+00:00,ksv87,2024-06-03 11:23:47+00:00
Modified Java tests to run on Android,category: build/install,4.10.0,2024-01-23 12:18:04+00:00,alexlyulkov,2024-01-31 12:09:57+00:00
Einsum Layer Inner Product Issue Solution ,category: dnn,5.0,2024-01-22 16:14:43+00:00,Abdurrahheem,2024-01-23 06:26:22+00:00
Basic core operations do not support new types in 5.x,bug,5.0,2024-01-22 13:20:26+00:00,asmorkalov,2024-02-11 07:46:06+00:00
Added assertion for new unsupported types,category: core,5.0,2024-01-22 13:18:15+00:00,asmorkalov,2024-01-24 14:35:43+00:00
Feature barcode detector parameters,feature,4.10.0,2024-01-22 11:58:23+00:00,cristidbr-adapta,2024-05-20 06:53:22+00:00
Fixed type cast warning in CV_ELEM_SIZE1 for cv::Mat::type,category: core,5.0,2024-01-22 09:10:04+00:00,asmorkalov,2024-01-23 06:18:44+00:00
Relax test requirements for OpenCL in test DNNTestNetwork.FastNeuraStyle_eccv16,test,5.0,2024-01-22 09:00:52+00:00,asmorkalov,2024-01-23 06:17:48+00:00
Documentation for Yolo usage in Opencv,category: documentation,4.10.0,2024-01-21 18:21:21+00:00,Abdurrahheem,2024-01-31 06:46:58+00:00
Fix handeye,bug,4.10.0,2024-01-21 16:40:48+00:00,JStech,2024-05-25 08:28:13+00:00
Fix handeye 3.4,Uncategorized,Not specified,2024-01-21 09:30:51+00:00,JStech,2024-01-21 15:18:50+00:00
Update windows_install.markdown - add set opencv path for vc17,category: documentation,4.10.0,2024-01-21 02:19:05+00:00,AlphaIsNotBeta,2024-01-22 14:32:01+00:00
added in-place support for cartToPolar and polarToCart,optimization,4.10.0,2024-01-20 12:22:01+00:00,chacha21,2024-03-26 12:38:17+00:00
DNN: avoid CV_16S usage for FP16,category: core,4.10.0,2024-01-19 20:23:12+00:00,opencv-alalek,2024-01-26 13:34:18+00:00
"OpenCV Config provides targets with generic names ""numeric"", ""multiview""",bug,4.10.0,2024-01-19 12:16:38+00:00,ilya-lavrenov,2024-01-19 20:14:04+00:00
added test func. fixes: #24742,Uncategorized,Not specified,2024-01-19 10:02:28+00:00,Dhanwanth1803,2024-01-24 10:36:32+00:00
Draft: core: Extend norm() function for u64/s64/u32,feature,Not specified,2024-01-19 09:12:34+00:00,Kumataro,2024-02-12 12:50:47+00:00
program abortion on exit after a multipage TIFF is read into a vector of Mat,invalid,Not specified,2024-01-18 21:15:09+00:00,aioiged,2024-01-19 21:40:25+00:00
Added kotlin classes to AAR,platform: android,4.10.0,2024-01-18 17:06:53+00:00,alexlyulkov,2024-02-22 06:29:24+00:00
Test_ONNX_layers.Einsum_InnerProduct fails after 4.x merge,bug,5.0,2024-01-18 15:11:11+00:00,asmorkalov,2024-01-24 13:41:48+00:00
bug in initUndistortRectifyMap() ?,incomplete,Not specified,2024-01-18 12:38:32+00:00,nnop,2024-01-19 06:42:17+00:00
Optimize the neighbor finding algorithm in CirclesGridFinder,optimization,4.10.0,2024-01-18 09:33:45+00:00,Octopus136,2024-04-03 07:37:29+00:00
dnn: fix ocl_fp16 support of scatter layer,bug,4.10.0,2024-01-18 03:20:24+00:00,fengyuentau,2024-01-18 06:15:21+00:00
Baidu claims that their FlyCV is twice as fast as OpenCV,Uncategorized,Not specified,2024-01-18 01:09:25+00:00,lindadamama,2024-01-18 07:06:35+00:00
G-API: Ifdef OpenVINO API 1.0 functionality,category: g-api / gapi,4.10.0,2024-01-17 13:38:10+00:00,TolyaTalamanov,2024-01-18 10:59:38+00:00
Orbbec Camera supports MacOS，Gemini2 and Gemini2L support Y16 format,feature,4.10.0,2024-01-17 12:35:10+00:00,zzuliys,2024-03-29 08:23:42+00:00
jpeg: use libjpeg-turbo built-in color conversions,optimization,4.10.0,2024-01-17 10:33:53+00:00,tailsu,2024-01-23 11:32:57+00:00
Fixed AndroidManifest.xml syntax in Android camerapreview sample,category: documentation,4.10.0,2024-01-17 07:19:12+00:00,alexlyulkov,2024-01-17 14:17:53+00:00
Fix generateImage for charuco chessboard,bug,4.10.0,2024-01-16 22:31:03+00:00,AleksandrPanov,2024-01-23 12:33:56+00:00
Replace deprecated symbols AVVideoCodecH264 and AVVideoCodecJPEG,category: videoio,4.10.0,2024-01-16 21:55:50+00:00,ingridwang,2024-01-17 07:40:51+00:00
Error running multiple input layer model (parallel resnet) with inference engine on OpenCV 4.8.1,invalid,Not specified,2024-01-16 16:23:49+00:00,cesarpgouveia,2024-01-17 11:16:56+00:00
Added screen rotation support to JavaCamera2View amd NativeCameraView. Fixed JavaCamera2View initialization.,category: samples,4.10.0,2024-01-16 14:55:27+00:00,alexlyulkov,2024-01-17 18:35:35+00:00
fix qnx-sdp-700 build,category: build/install,4.10.0,2024-01-16 11:45:44+00:00,zchrissirhcz,2024-01-18 08:10:42+00:00
Problem with installation of OpenCV on Ubuntu 20.04,question (invalid tracker),Not specified,2024-01-16 08:13:50+00:00,heebahsaleem,2024-05-28 11:22:34+00:00
Normalize axis parameter in DNN Concat to handle negative values,category: dnn (onnx),4.10.0,2024-01-16 06:42:28+00:00,asmorkalov,2024-01-16 11:39:28+00:00
Fix QNX build,category: build/install,4.10.0,2024-01-16 05:58:41+00:00,zchrissirhcz,2024-01-16 09:37:12+00:00
5.x merge 4.x,Uncategorized,5.0,2024-01-15 14:24:03+00:00,asmorkalov,2024-01-22 07:26:26+00:00
OpenCV DNN does not support Concat with negative axis value,bug,4.10.0,2024-01-15 09:25:51+00:00,asmorkalov,2024-01-16 11:39:29+00:00
"Downgrade LIMITED_API_VERSION, if python3 is older than 3.6",category: python bindings,4.10.0,2024-01-15 07:54:23+00:00,asmorkalov,2024-01-17 11:03:53+00:00
Unable to build for Python 3.10 when Python 2.7 is installed.,question (invalid tracker),Not specified,2024-01-14 20:19:53+00:00,KelSolaar,2024-01-30 06:21:15+00:00
Use AVX2 overload instread on AVX in AVX2 scope,bug,4.10.0,2024-01-13 19:59:37+00:00,Dhanwanth1803,2024-01-16 06:14:31+00:00
Add python bindings for `Rect2f` and `Point3i`,category: python bindings,4.10.0,2024-01-13 03:16:32+00:00,zhouzq-thu,2024-01-24 15:48:18+00:00
WIP: Fix proto and weights mess in dnn performance tests,Uncategorized,Not specified,2024-01-12 12:55:26+00:00,asmorkalov,2024-02-06 14:21:30+00:00
Make \epsilon parameter accessible in VariationalRefinement,category: video,4.10.0,2024-01-12 09:08:38+00:00,Octopus136,2024-01-17 07:20:04+00:00
Problem with QRCodeEncoder#encodeStructuredAppend function,bug,4.10.0,2024-01-12 04:22:07+00:00,fjs-tantran,2024-02-01 13:15:16+00:00
gaussianBlur almost never call HAL on CPU,bug,4.10.0,2024-01-11 14:22:38+00:00,asmorkalov,2024-04-25 13:50:13+00:00
Modified AAR script: added javadoc to Android Maven,category: build/install,4.10.0,2024-01-11 09:30:54+00:00,alexlyulkov,2024-01-12 11:06:12+00:00
Get Access to \epsilon parameter of the charbonier norm (Brox2004) in VariationalRefinement,feature,4.10.0,2024-01-10 19:21:16+00:00,jeffwitz,2024-01-17 07:20:05+00:00
"Update README.md - remove IndieGoGo, add Support OpenCV page",category: documentation,4.10.0,2024-01-10 18:20:25+00:00,philnelson,2024-01-11 07:39:43+00:00
G-API: Implement concurrent executor,feature,4.10.0,2024-01-10 15:31:07+00:00,TolyaTalamanov,2024-01-30 14:01:51+00:00
Removed Android AIDL from build scrips and tutorials as it's not need since 4.9.0,platform: android,4.10.0,2024-01-10 13:29:45+00:00,asmorkalov,2024-01-12 10:45:39+00:00
Document Android development with Maven Central package,category: documentation,4.10.0,2024-01-10 12:39:07+00:00,asmorkalov,2024-01-12 10:45:19+00:00
RISC-V: updated intrin_rvv071.hpp to work with modern toolchain 2.8.0,optimization,4.10.0,2024-01-10 10:10:22+00:00,mshabunin,2024-01-19 05:11:08+00:00
dnn (opencl): integrate bias handling in the inner product opencl kernel,optimization,4.10.0,2024-01-10 08:50:48+00:00,fengyuentau,2024-01-12 12:10:16+00:00
Cannot build OpenCV 4.9.0 on Ubuntu 22 with Cuda 12.2.1 and CuDNN 8.9.7,bug,Not specified,2024-01-10 07:49:36+00:00,HetDaftary,2024-01-11 05:30:31+00:00
Error in loading Efficienet_lite0 (ONNX) model using dnn ,bug,4.10.0,2024-01-10 06:48:03+00:00,Chetancool,2024-06-03 10:05:14+00:00
Manage Python Limited API version externally,category: python bindings,4.10.0,2024-01-09 15:09:02+00:00,asmorkalov,2024-01-12 05:06:22+00:00
RANSAC is insensitive to setRNDSeed,bug,Not specified,2024-01-09 10:06:27+00:00,ngbusca,2024-03-04 07:06:51+00:00
dnn (cuda): support broadcasting if a.rank() != b.rank(),bug,4.10.0,2024-01-09 07:31:36+00:00,fengyuentau,2024-01-11 07:04:46+00:00
Compensate edge length in ChessBoardDetector::generateQuads,category: calib3d,4.10.0,2024-01-08 20:41:27+00:00,MaximSmolskiy,2024-02-15 10:22:13+00:00
Resolved issue number #22177,category: documentation,4.10.0,2024-01-08 20:02:41+00:00,AryanNanda17,2024-01-26 07:42:47+00:00
1d  operation support for einsum layer,feature,5.0,2024-01-08 18:57:41+00:00,Abdurrahheem,2024-01-12 11:21:13+00:00
Make aruco detector deterministic.,category: objdetect,4.10.0,2024-01-08 13:58:47+00:00,vrabaud,2024-01-09 12:48:16+00:00
videoio: fix 24774 incorrect timestamps returned by VideoCapture when CAP_PROP_FORMAT == -1,bug,4.10.0,2024-01-08 06:25:33+00:00,cudawarped,2024-01-09 11:14:46+00:00
Added any screen orientation support for JavaCameraView,feature,4.10.0,2024-01-08 05:44:48+00:00,alexlyulkov,2024-01-11 07:19:03+00:00
when to support Ascend+Ubuntu ?,feature,Not specified,2024-01-08 03:42:01+00:00,zainlau,2024-01-08 03:51:49+00:00
4.9 Does not include libopencv_features2d.so.408,question (invalid tracker),Not specified,2024-01-07 15:59:01+00:00,niksingh710,2024-01-13 05:19:05+00:00
fix highgui qt's statusbar text got cropped,bug,4.10.0,2024-01-07 11:36:39+00:00,shenlebantongying,2024-01-09 10:59:58+00:00
Fix building on OpenBSD,category: build/install,4.10.0,2024-01-07 06:30:04+00:00,brad0,2024-01-09 06:34:21+00:00
Corrections for FreeBSD ARM support,bug,4.10.0,2024-01-07 01:12:32+00:00,brad0,2024-01-09 06:54:40+00:00
VideoWriter_fourcc doesn't exist in type stubs,category: python bindings,4.10.0,2024-01-07 00:39:03+00:00,Jes46,2024-01-10 10:25:43+00:00
Sample program in C++ for barcode detection cannot read command-line argument for input file correctly,question (invalid tracker),Not specified,2024-01-06 23:41:39+00:00,bobhairgrove,2024-01-07 10:14:08+00:00
Fix building on OpenBSD X86,category: build/install,4.10.0,2024-01-06 06:47:37+00:00,brad0,2024-01-06 18:20:56+00:00
core: fix clang warnings,category: core,4.10.0,2024-01-05 14:20:10+00:00,cudawarped,2024-01-06 08:32:37+00:00
dnn: improve scatter and scatterND speed with multi-threading,optimization,4.10.0,2024-01-05 09:29:50+00:00,fengyuentau,2024-01-17 14:16:50+00:00
Replace interactive batched Matrix Multiply. ,category: dnn,4.10.0,2024-01-04 13:09:15+00:00,Abdurrahheem,2024-01-12 11:23:43+00:00
New releases provideopencv_videoio_ffmpeg_64.dll by default,duplicate,Not specified,2024-01-04 04:16:29+00:00,gongshuxuelang,2024-01-30 06:21:51+00:00
Added test for YOLO NAS,test,4.10.0,2024-01-03 09:45:55+00:00,Abdurrahheem,2024-01-17 17:36:15+00:00
dnn: no layer norm fusion if axes.back() is not the axis of last dimension,test,4.10.0,2024-01-03 07:06:32+00:00,fengyuentau,2024-01-10 10:01:01+00:00
Fix aruco detector thread safety.,bug,4.10.0,2024-01-02 21:19:38+00:00,vrabaud,2024-01-06 08:45:16+00:00
ChArUco generation produces incorrect marker locations in the Chessboard,bug,4.10.0,2024-01-02 20:24:04+00:00,giri-kum,2024-01-23 12:33:57+00:00
Link libacl_dvpp_mpi library when building with CANN backend,category: build/install,4.10.0,2024-01-02 08:30:54+00:00,MengqingCao,2024-01-09 10:57:43+00:00
core: try to solve warnings caused by Apple's new LAPACK interface,category: core,4.10.0,2024-01-02 08:30:19+00:00,fengyuentau,2024-05-21 13:58:16+00:00
Type annotation issues with opencv-python 4.9.0.80,bug,4.10.0,2024-01-02 07:44:34+00:00,slanzmich,2024-04-13 08:06:59+00:00
Better error message for missing gstreamer plugin,category: videoio,4.10.0,2023-12-31 22:29:28+00:00,theartful,2024-01-06 09:00:28+00:00
Let call site know if decoding to a supplied memory buffer succeeded or not,category: imgcodecs,Not specified,2023-12-31 10:00:31+00:00,reunanen,2024-01-29 14:36:02+00:00
`cuda`: Fix 24789 (Cannot build opencv 4.9 with test module),category: build/install,4.10.0,2023-12-29 15:39:03+00:00,cudawarped,2024-01-09 12:58:41+00:00
Correct invalid error directive,category: core,4.10.0,2023-12-29 13:35:34+00:00,Rageking8,2024-01-06 09:05:08+00:00
OpenCV(4.9.0-dev) Error: Unspecified error (> Node [LayerNormalization@ai.onnx]:(onnx_node!/neck/neck.1/Add_1),bug,Not specified,2023-12-29 10:16:45+00:00,LaurentBerger,2024-01-10 10:01:02+00:00
