Name,Type,Version,Date Appear
Implemented optional EGL based GL/CL interop,category: core,Not specified,2022-10-26 23:46:08+00:00
Implement optional EGL-based GL/CL-interop,feature,Not specified,2022-10-26 23:44:46+00:00
meanStdDev bug while RUN_TESTS for opencv_test_core,bug,Not specified,2022-10-26 16:45:02+00:00
CAP_PROP_CONVERT_RGB is not properly explained in document,category: documentation,Not specified,2022-10-26 14:45:41+00:00
Release apt package for xfeatures2d on ubuntu jammy,feature,Not specified,2022-10-24 16:56:41+00:00
"ret, frame = video.read()   add Back to  audio",feature,Not specified,2022-10-21 10:00:42+00:00
VideoCapture.read() permanently stuck after reconnecting IP camera,bug,Not specified,2022-10-21 08:14:49+00:00
Why add this line before camera calibration?,category: calib3d,Not specified,2022-10-21 08:10:40+00:00
cannot run the cv::namedWindow after compile (Mingw),bug,Not specified,2022-10-21 05:23:02+00:00
Draft: Cancel old jobs for the same PR if new changes happened,CI/CD: GitHub Actions (GHA),Not specified,2022-10-20 17:01:12+00:00
Is there any plan using SIMD in `cv::reduce`?,optimization,Not specified,2022-10-20 02:39:55+00:00
Provide binaries as ZIP along with the current EXE installation,feature,Not specified,2022-10-19 12:27:15+00:00
Incorrect size of input array (Inconsistent shape for ConcatLayer),Uncategorized,Not specified,2022-10-18 20:17:46+00:00
`SACSegmentation::create` not exposed in Python,bug,Not specified,2022-10-14 13:07:38+00:00
java.lang.UnsatisfiedLinkError: org.opencv.wechat_qrcode.WeChatQRCode.WeChatQRCode_0,Uncategorized,Not specified,2022-10-14 06:49:47+00:00
A newSelf-Calibrated Illumination (SCI) learning framework,feature,Not specified,2022-10-13 11:41:57+00:00
AffineFeature Mask,bug,Not specified,2022-10-12 02:18:22+00:00
simpleblobdetector uncertain different,bug,Not specified,2022-10-11 14:45:41+00:00
fisheye::projectPoints project points with negetive depth incorrectly,Uncategorized,Not specified,2022-10-11 08:32:22+00:00
Enhance HighGUI,feature,Not specified,2022-10-10 12:29:16+00:00
How to use gpumat.copyTo on the python side,category: documentation,Not specified,2022-10-10 11:31:32+00:00
opencv-caffe.pb.h:17:2: error: This file was generated by an older version of protoc which is,duplicate,Not specified,2022-10-09 07:34:15+00:00
[RISCV] Incompatible change for RVV intrinsics,optimization,Not specified,2022-10-07 11:24:05+00:00
"cv2.imshow() throwing ""Unknown C++ exception from OpenCV code"" only when threaded",question (invalid tracker),Not specified,2022-10-06 04:49:42+00:00
OpenEXR image reads only zeros from depth map,category: imgcodecs,Not specified,2022-09-30 12:47:50+00:00
Failed to build iOS framework,category: build/install,Not specified,2022-09-30 06:10:24+00:00
"Kindly help me resolve the error: ""Could not load the Qt platform plugin Reinstalling the application may fix this problem."" Though reinstallation has been done many a time. ",Uncategorized,Not specified,2022-09-29 05:10:03+00:00
Failed to build macOS framework,category: build/install,Not specified,2022-09-28 06:29:15+00:00
CV_BGR2LAB in opencv and opencv cuda return different result.,category: gpu/cuda (contrib),Not specified,2022-09-28 03:30:13+00:00
revisit official Conan package for OpenCV,pr: Discussion Required,Not specified,2022-09-27 09:14:43+00:00
CV_ADD Clang compilation error,category: build/install,Not specified,2022-09-26 22:06:16+00:00
TypeError: Expected Ptr<cv::UMat> for argument 'src',question (invalid tracker),Not specified,2022-09-26 19:41:47+00:00
Replacing ZLIB with ZLIB-NG,feature,5.0,2022-09-26 19:03:02+00:00
The Image Rotate With Continuously Changing Angle Is Stuck,question (invalid tracker),Not specified,2022-09-25 07:00:33+00:00
OpenCV - How to create video with a transparent background?,question (invalid tracker),Not specified,2022-09-24 06:43:55+00:00
imread can't read usgs ascii dem file,category: 3rdparty,Not specified,2022-09-22 02:03:55+00:00
Reading PNG images fails if they contain large tEXt chunks,bug,Not specified,2022-09-21 14:41:00+00:00
CUDA-Python using ORB ?,question (invalid tracker),Not specified,2022-09-21 14:18:46+00:00
AttributeError: module 'cv2' has no attribute 'CAP_PROP_RGB',question (invalid tracker),Not specified,2022-09-21 11:31:56+00:00
Webp images with animation are not supported,feature,Not specified,2022-09-20 15:32:25+00:00
opencv videoio error,question (invalid tracker),Not specified,2022-09-20 07:42:28+00:00
G-API: warnings at MSVC 2015 build,duplicate,Not specified,2022-09-19 15:45:25+00:00
WINDOW_KEEPRATIO not respected after displaying an image with the same aspect ratio as the window,category: highgui-gui,Not specified,2022-09-19 13:40:17+00:00
G-API: Provide API to configure IE backend.,category: g-api / gapi,Not specified,2022-09-15 15:12:49+00:00
OpenCVLoader.initDebug() causes SIGSEGV in libart.so between onPause and onResume in debug sessions (simple repro included),bug,Not specified,2022-09-14 15:50:39+00:00
QObject::moveToThread: Current thread (0x55dcf63e2610) is not the object's thread (0x55dcf9951b60),question (invalid tracker),Not specified,2022-09-14 12:25:42+00:00
G-API: Move OneVPL arguments parser to generic place,category: g-api / gapi,Not specified,2022-09-12 16:28:35+00:00
matchTemplate inconsistent results with M1 Chip ,bug,Not specified,2022-09-08 10:39:13+00:00
Segfault on `imshow` when setting a `matplotlib` backend beforehand,bug,Not specified,2022-09-08 08:44:49+00:00
"Loading Image list error: cap_gstreamer.cpp (873), (616) & cap.cpp (164) & cap_images.cpp (253)",question (invalid tracker),Not specified,2022-09-07 11:16:44+00:00
DNN: supports NonMaxSuppression operator from ONNX,category: dnn (onnx),Not specified,2022-09-05 08:52:39+00:00
GAPI Fluid Resize:AVX2 implementation.,optimization,Not specified,2022-09-04 13:05:21+00:00
build opencv 3.1 with extra modules failed,wontfix,Not specified,2022-09-04 09:45:23+00:00
iOS: Binary operator '+' cannot be applied to two 'Mat' operands,category: core,Not specified,2022-09-01 20:50:20+00:00
Stitcher problem,question (invalid tracker),Not specified,2022-08-30 14:02:08+00:00
ILL_ILLOPC  Android 64 bit  often crash  when dlpoen,platform: android,Not specified,2022-08-29 06:31:20+00:00
Invalid model output,category: gpu/cuda (contrib),Not specified,2022-08-28 16:34:48+00:00
[GSoC 2022] new imread api with named parameters and outputarray,feature,5.0,2022-08-26 18:26:34+00:00
flann.knnMatch,category: features2d,Not specified,2022-08-18 13:17:07+00:00
FaceReccognize predicet funtion return DBL_MAX,Uncategorized,Not specified,2022-08-17 15:09:23+00:00
found error while importing FaceDetectorYN test model,category: objdetect,5.0,2022-08-17 14:43:03+00:00
DNN with CUDA not working (Restarting Core in Spyder),category: gpu/cuda (contrib),Not specified,2022-08-14 19:37:45+00:00
"OpenCV-MinGW-Build: DLL files can't be found, CMake's find_package() doesn't work",invalid,Not specified,2022-08-14 10:34:40+00:00
cv::cudacodec::createVideoReader,category: gpu/cuda (contrib),Not specified,2022-08-13 02:19:57+00:00
Building XCFramework using build_framework.py with --contrib fails on M1 machines,category: build/install,Not specified,2022-08-08 00:41:30+00:00
all points are good matched why epnp caculate a totally wrong result ?,Uncategorized,Not specified,2022-08-07 15:11:19+00:00
OpenCV mixes x86 and x64 when on a Windows 64 bit with MinGW 32 bit,category: build/install,Not specified,2022-08-06 21:36:53+00:00
"CMake >=3.19 errors `IMPORTED_LOCATION not set for imported target ""opencv_world"" configuration ""MinSizeRel""` when building a simple test program with OpenCV built only in Debug with Visual Studio",category: build/install,Not specified,2022-08-06 20:09:00+00:00
Gapi and TensorRT and arm,Uncategorized,Not specified,2022-08-04 09:22:31+00:00
`cv2.resize` produces unexpected values when certain target sizes are used,category: imgproc,Not specified,2022-08-03 19:14:52+00:00
opencv can not reopen,Uncategorized,Not specified,2022-08-03 08:59:04+00:00
Image was not displayed on window with cv::WINDOW_OPENGL,bug,Not specified,2022-08-03 00:15:42+00:00
imshow no longer works for cv::cuda::GpuMat,bug,Not specified,2022-08-01 06:57:50+00:00
Take picture button on UVC camera,feature,Not specified,2022-07-29 04:42:29+00:00
net.setPreferableBackend(cv2.dnn.DNN_BACKEND_CUDA) and net.setPreferableTarget(cv2.dnn.DNN_TARGET_CUDA) not working properly.,category: gpu/cuda (contrib),Not specified,2022-07-27 15:06:33+00:00
Subpixel coordinates of findChessboardCorners are unintuitive,category: calib3d,4.11.0,2022-07-22 23:10:33+00:00
warpAffine fails for images with more than 4 channels when borderValue specified with more than 4 channels,category: imgproc,Not specified,2022-07-22 04:10:48+00:00
Access vioraiton on cv::partition,Uncategorized,Not specified,2022-07-20 07:27:26+00:00
Enabling system FFMPEG on windows,category: build/install,Not specified,2022-07-19 18:06:05+00:00
`initInverseRectificationMap`'s documentation confuses `newCameraMatrix` with `cameraMatrix`.,bug,Not specified,2022-07-18 20:29:52+00:00
Lack of function for closing the image in the display-image tutorial,category: documentation,Not specified,2022-07-18 16:40:54+00:00
Java Finalize Class is a removal candidate in JDK 18,category: java bindings,Not specified,2022-07-18 16:07:59+00:00
VideoCapture with ueye backend cannot set gain,category: videoio,Not specified,2022-07-18 14:44:51+00:00
Undefined symbol: tesseract::TessBaseAPI::GetIterator(),category: build/install,Not specified,2022-07-14 21:10:41+00:00
cv::filter2D kernel documentation is different from actual behaviour,bug,Not specified,2022-07-13 15:36:23+00:00
"two run cv2.solvePnPRansac,get different result",Uncategorized,Not specified,2022-07-13 09:09:34+00:00
Memory Leaks on Windows,duplicate,Not specified,2022-07-13 08:49:21+00:00
Reopening issue,Uncategorized,Not specified,2022-07-13 08:10:36+00:00
DNN test verification failed running wechat_qrcode detector using DNN_TARGET_OPENCL,category: ocl,Not specified,2022-07-13 00:52:32+00:00
Add explicit for one argument constructor of Vec_ / Matx_,category: core,Not specified,2022-07-12 00:51:32+00:00
HDR tutorial result is different from the code running.,good first issue,Not specified,2022-07-09 00:57:55+00:00
warning: outside array bound,category: build/install,Not specified,2022-07-08 23:45:42+00:00
Fix the bug in pyrDown when src_width is even and swidth/2+1=dwidth,category: imgproc,4.11.0,2022-07-07 11:16:58+00:00
"TrackerKCF.update fails with ""Matrix operand is an empty matrix""",question (invalid tracker),Not specified,2022-07-06 15:39:24+00:00
cuda in windows 10 error c2059 ,Uncategorized,Not specified,2022-07-06 14:07:58+00:00
Do not use reserved identifiers,category: core,Not specified,2022-07-04 09:49:03+00:00
[GSoC] [WIP] Add Audio Visual Speech Recognition pre-processing functions,category: samples,Not specified,2022-07-01 16:40:27+00:00
SystemError: <class 'cv2.dnn.DetectionModel'> returned a result with an error set,incomplete,Not specified,2022-07-01 06:28:07+00:00
Python GpuMat not subscriptable,feature,Not specified,2022-06-30 08:12:07+00:00
Faile to compile when add stitching module to OpenCV,feature,Not specified,2022-06-29 12:27:11+00:00
ModuleNotFoundError: No module named 'cv2',Uncategorized,Not specified,2022-06-24 13:57:19+00:00
SIFT，detectAndCompute，Memory leak,incomplete,Not specified,2022-06-24 05:50:06+00:00
 SIGSEGV(SEGV_ACCERR) Invalid Permissions For Mapped Object,Uncategorized,Not specified,2022-06-24 02:11:45+00:00
Replicate PyTorch transforms like transforms.ToTensor() and transforms.Normalize() in opencv c++,Uncategorized,Not specified,2022-06-20 13:29:40+00:00
Unable to install OpenCV with Cuda,duplicate,Not specified,2022-06-20 10:37:36+00:00
Thoughts about HOGDescriptor related to OpenCV 5,feature,5.0,2022-06-19 11:14:51+00:00
Stitcher: inconsistent behavior with OpenCL enabled ,bug,Not specified,2022-06-18 10:04:29+00:00
procedure to invert maps suitable for remap(),Uncategorized,Not specified,2022-06-16 18:05:48+00:00
"OpenCV Error: Assertion failed (isIdentity(expr)) in _InputArray ,matrix_expressions.cpp, line 1843",incomplete,Not specified,2022-06-16 02:44:41+00:00
detectMulti() and detect() work differently in QRCodeDetector,bug,4.11.0,2022-06-15 05:38:19+00:00
OpenCV fails to import ONNX model: error: (-215:Assertion failed) !isDynamicShape in function 'cv::dnn::dnn4_v20220524::ONNXImporter::parseShape',feature,Not specified,2022-06-14 12:40:36+00:00
zlib issue on MAC ,duplicate,Not specified,2022-06-14 11:39:34+00:00
cmake not detecting correct python3.8 version where python3.7 is also installed.,category: build/install,Not specified,2022-06-14 00:03:46+00:00
BFMatcher::isMaskSupported should return false with crossCheck enabled,bug,Not specified,2022-06-13 14:13:33+00:00
imgcodecs: default values of imread / imreadmulti flags are not aligned,bug,5.0,2022-06-10 18:12:49+00:00
Msvc compilation issue: member function does not override any base class virtual member function,invalid,Not specified,2022-06-10 07:58:37+00:00
dynamic batch-size onnx problem,feature,Not specified,2022-06-10 07:45:04+00:00
Difference in corners between findChessboardCorners() and findChessboardCornersSB(),category: calib3d,4.11.0,2022-06-09 11:13:02+00:00
Morphological Opening not idempotent,question (invalid tracker),Not specified,2022-06-07 07:33:24+00:00
Fix ipp_GaussianBlur will not be called with IPP enabled flag(ENABLE_…,optimization,Not specified,2022-06-06 03:21:49+00:00
cv::meanShift has an unknown error in opencv4.5.5,question (invalid tracker),Not specified,2022-06-05 08:10:54+00:00
VideoCapture sets errno without indicating error by return value,Uncategorized,Not specified,2022-06-01 17:18:26+00:00
  Can opencV now open the camera on ADB (Android)？,question (invalid tracker),Not specified,2022-06-01 10:35:03+00:00
Redundant code found in Cloning::illuminationChange(),bug,Not specified,2022-05-31 12:05:02+00:00
How to add more ffmpeg options,question (invalid tracker),Not specified,2022-05-31 03:04:22+00:00
A bug when I use the VideoCapture.set() (through opencv-python),duplicate,Not specified,2022-05-29 15:52:12+00:00
cv::flip() throws an ipp::IwException,bug,Not specified,2022-05-27 03:08:47+00:00
[FEATURE REQUEST] cv2.MORPH_ELLIPSE should give a rotationally symmetric kernel for square kernel sizes,bug,Not specified,2022-05-26 13:32:01+00:00
Error in Creating a model for object Detection using cv2.dnn_DetectionModel. Please! solve it,incomplete,Not specified,2022-05-26 06:15:19+00:00
imdecode should also have a vector<uchar> API,feature,Not specified,2022-05-25 14:54:29+00:00
Accuracy concerns about calibrateCamera,feature,Not specified,2022-05-24 18:18:07+00:00
"In Galaxy S22 and Android Version12, VideoCapture::bool read Crash erupt",bug,Not specified,2022-05-19 09:39:13+00:00
BUG in cv2.VideoCapture(),category: videoio,Not specified,2022-05-18 21:20:15+00:00
Using cv2.decolor on black-and-white image outputs all zero image,category: photo,Not specified,2022-05-18 15:04:09+00:00
"4.5.4 with Inference Engine, does not spread across NUMA nodes",category: dnn,Not specified,2022-05-18 11:54:22+00:00
OpenGL support in Opencv convertFromGLTexture2D(),category: build/install,Not specified,2022-05-16 22:11:28+00:00
HoughLines: min_theta behavior,category: imgproc,Not specified,2022-05-14 18:52:08+00:00
Build fails after WITH_OPENGL is added (3.4.17),category: build/install,Not specified,2022-05-11 16:47:36+00:00
"After setting the decoder to hevc_cuvid, VideoCapture reads video more slowly",category: videoio,Not specified,2022-05-11 12:42:36+00:00
Fix unicode support for python binding on windows,category: python bindings,Not specified,2022-05-09 04:52:59+00:00
getCacheDirectoryForDownloads throws exception when encountering unicode paths,bug,Not specified,2022-05-09 04:19:57+00:00
"OpenCV with CUDA - no ""data"" folder",category: build/install,Not specified,2022-05-08 18:12:35+00:00
AV import leads to OpenCV imshow freeze,wontfix,Not specified,2022-05-06 08:07:34+00:00
Core modify termcriteria,feature,Not specified,2022-05-05 20:49:26+00:00
Crash in parallelized algorithms in multithreaded application,bug,Not specified,2022-05-02 10:24:34+00:00
python GpuMat from BufferPool works abnormally after release,bug,Not specified,2022-05-01 16:33:13+00:00
"i make a thread, in it, cv::VideoCapture  open a local video path, open is ok, but when i capture.read(srcImage) false, the image is empty? how it?",category: videoio,Not specified,2022-04-30 02:37:26+00:00
Cant figure out how to enable EXR file type,incomplete,Not specified,2022-04-29 17:28:42+00:00
"Open EXR files, how to enable?",question (invalid tracker),Not specified,2022-04-29 14:39:51+00:00
cv.circle yields different circumference for thickness=1 and thickness = cv.FILLED,category: imgproc,Not specified,2022-04-29 12:26:32+00:00
Build issues on M1 mac,category: build/install,Not specified,2022-04-29 09:16:56+00:00
HoughLinesP: minLineLength underestimates real line length (IPP and non-IPP),needs investigation,Not specified,2022-04-26 07:50:38+00:00
V4.5.1: use cv2.findCirclesGrid will cause exception:OpenCV(4.5.1) /tmp/pip-req-build-7m_g9lbm/opencv/modules/core/src/matmul.dispatch.cpp:439: error: (-215:Assertion failed) scn == m.cols || scn + 1 == m.cols in function 'transform',question (invalid tracker),Not specified,2022-04-24 08:13:02+00:00
Wrong/misleading placement of seamlessClone source image,category: photo,Not specified,2022-04-23 19:45:02+00:00
I have a problem please anyone help me? cmake error,category: build/install,Not specified,2022-04-21 01:08:08+00:00
Add haveImageReader(const Mat& buf) to imgcodecs and expose it in python,feature,Not specified,2022-04-18 05:58:03+00:00
Enable filesystem in OpenCV.js,feature,Not specified,2022-04-18 05:35:38+00:00
Different behaviour DEBUG/RELEASE of Mat::channels() for an empty matrix,Uncategorized,Not specified,2022-04-14 10:41:02+00:00
Is there any official release or guide to build opencv with nvcuvid?,feature,4.11.0,2022-04-12 14:37:08+00:00
fisheye_projectPoints error in opencv.js 4.5.5,category: calib3d,Not specified,2022-04-11 07:48:13+00:00
GStreamer pipeline + OpenCV: VideoCapture.read() returns None on OSX,category: build/install,Not specified,2022-04-10 16:29:06+00:00
import Tensorflow 2.8 saved model via readNetFromTensorflow DNN api ,category: dnn,Not specified,2022-04-09 02:31:29+00:00
Loading onnx model generated from TensorFlow2 saved model by tf2onnx using dnn.readNetFromONNX returns Unknown C++ exception,category: dnn,Not specified,2022-04-08 11:31:43+00:00
opencv-python cv2.cvtColor memory leak when executed within a threading.Thread,category: python bindings,Not specified,2022-04-08 09:21:58+00:00
Enable G-API in OpenCV.js,GSoC,Not specified,2022-04-08 09:02:04+00:00
OE xx: Modify universal intrinsics for size-less architectures,optimization,Not specified,2022-04-06 10:11:51+00:00
`cv2.VideoWriter` fails to write file silently,category: videoio,Not specified,2022-04-05 04:03:59+00:00
Add tutorial for using OpenCV in Swift,feature,Not specified,2022-04-05 02:06:39+00:00
undefined references in `libopencv_core.so` (3.2 and 4.2),category: core,Not specified,2022-04-04 00:54:56+00:00
We want to commit a new SIMD support in HAL ...,platform: other,Not specified,2022-04-02 02:27:37+00:00
Build fails on macOS if '-D WITH_VULKAN=ON',feature,Not specified,2022-03-29 18:36:17+00:00
[feature request]: Save exif information,feature,Not specified,2022-03-29 02:46:58+00:00
UMat has different return from Mat/GpuMat in matchTemplate ,category: imgproc,Not specified,2022-03-28 14:38:05+00:00
cv2.matchTemplate returns incorrect output,bug,4.11.0,2022-03-27 16:15:55+00:00
"Could NOT find CUDNN (missing: CUDNN_LIBRARY) (found suitable version ""8.3.3"", minimum required is ""7.5"")",Uncategorized,Not specified,2022-03-24 16:08:38+00:00
getOptimalNewCameraMatrix not available in opencv.js,question (invalid tracker),Not specified,2022-03-24 11:22:42+00:00
OpenCV C++ don't load model .pb/onnx,feature,Not specified,2022-03-23 20:07:10+00:00
 cv::findDecoder imread_: can't open/read file: check file path/integrity,question (invalid tracker),Not specified,2022-03-23 19:26:52+00:00
In-place checks are wrong,RFC,Not specified,2022-03-23 15:13:03+00:00
[Feature Request] Add perceptual (Oklab) colour conversions,feature,Not specified,2022-03-21 12:12:14+00:00
python cuda multiply/add/divide cannot use scale,bug,Not specified,2022-03-21 02:00:58+00:00
 error: ‘nppSetStream’ was not declared in this scope,category: build/install,Not specified,2022-03-20 09:55:49+00:00
Assertion failed (trackbar) in getTrackbarPos,bug,Not specified,2022-03-20 04:36:33+00:00
Objective-C++ files importing Objective-C bindings fail to build when using a `framework_name` other than `opencv2`,bug,Not specified,2022-03-18 17:28:53+00:00
Assertion error in cv2.fisheye.stereoCalibrate() and cv2.omnidir.stereoCalibrate() when number of points varies across image pairs,category: calib3d,Not specified,2022-03-18 14:11:40+00:00
Using OpenCV 4.5.5 DNN on the super-resolution ONNX model on CPU and GPU reasoning results are not the same!,incomplete,Not specified,2022-03-18 11:30:45+00:00
OpenCV 4.5.5 / Visual Studio 2022 - Java Wrappers are not built,question (invalid tracker),Not specified,2022-03-18 06:38:00+00:00
Unexpected result of pyrDown with `borderType=cv2.BORDER_REPLICATE`,Uncategorized,Not specified,2022-03-16 11:56:05+00:00
"no COLOR_BGR2YUV_NV12! , how can i convert rgb to yuv_nv12",question (invalid tracker),Not specified,2022-03-16 09:06:04+00:00
Propose a new retrieval mode,feature,Not specified,2022-03-15 10:43:26+00:00
Simulator build on iOS is not linked ,duplicate,Not specified,2022-03-14 15:04:50+00:00
Installing/building opencv using cmake and git-bash not working,question (invalid tracker),Not specified,2022-03-13 09:07:04+00:00
Opencv from source build fails,duplicate,Not specified,2022-03-13 05:14:42+00:00
Run tensorflow model through inference engine on OpenCVDNN,category: dnn,Not specified,2022-03-09 18:33:54+00:00
IMREAD_ANYCOLOR return BGR on BGRA png image,category: imgcodecs,5.0,2022-03-07 14:07:58+00:00
Building plugins does not add them to the target runtime DLLs,category: build/install,Not specified,2022-03-06 02:58:50+00:00
"pkg-config.pc contains extra ""-L"" for Libs.private (harmless?)",priority: low,Not specified,2022-03-04 08:00:17+00:00
Build regression with Eigen 3.4.0 on Windows & MSVC 19.1,category: build/install,Not specified,2022-03-02 22:01:33+00:00
Allow CV_8U datatype for cv::dnn::imagesFromBlob,Uncategorized,Not specified,2022-03-02 07:21:09+00:00
Cuda_GpuMat () is generated by a pointer to zero copy data on the GPU,question (invalid tracker),Not specified,2022-03-01 07:23:04+00:00
Python import missing dll when build with tbb,priority: low,Not specified,2022-02-24 12:47:20+00:00
Add support for libcamera,feature,Not specified,2022-02-23 19:59:58+00:00
Why is uchar defined in the global namespace?,category: core,5.0,2022-02-22 07:24:53+00:00
treatment of float value ranges differs between imshow and imwrite,RFC,Not specified,2022-02-21 12:52:19+00:00
OpenCV apple platform build failed,category: build/install,Not specified,2022-02-19 10:46:54+00:00
OpenCV with WebNN backend example fails to run,bug,Not specified,2022-02-18 13:09:56+00:00
[DOC] cv::Mat.allocator field not set when a custom allocator is in use,bug,5.0,2022-02-18 11:39:51+00:00
HighGUI gets stuck in mutithreaded environments with other gtk window,category: highgui-gui,Not specified,2022-02-17 21:29:11+00:00
CV_LOG_STRIP_LEVEL inconsistency,category: core,Not specified,2022-02-15 17:25:16+00:00
I have built Opencv with cuda support but pycharm couldnt find it,duplicate,Not specified,2022-02-15 06:47:48+00:00
Add CMake option to install pip metadata when Python bindings are installed just by CMake,category: python bindings,Not specified,2022-02-14 17:11:25+00:00
vs 2022 + opencv 4.5.5 load opencv_highgui_gtk455_64.dll => FAILED,question (invalid tracker),Not specified,2022-02-13 08:56:17+00:00
OpenGL support does not turn on on linux for tegra(nvidia jetson OS) ,question (invalid tracker),Not specified,2022-02-09 20:23:41+00:00
SegFault error in libopencv_imgproc.so when using cv::cvtColor from OpenCV 4.5.5 (C++) in RHEL 8.5,bug,Not specified,2022-02-09 13:03:41+00:00
unification of findContours and connectedComponents,category: imgproc,5.0,2022-02-09 09:58:23+00:00
Suppress warnings from OpenCV in iOS.,category: build/install,Not specified,2022-02-09 06:23:59+00:00
Why user builded the opencv.js can not use in html page directly.,question (invalid tracker),Not specified,2022-02-08 13:47:27+00:00
error: ‘AVFormatContext’ {aka ‘struct AVFormatContext’} has no member named ‘filename’,incomplete,Not specified,2022-02-08 05:51:54+00:00
Deprecations and planned breaking changes for the Apple build pipeline should be resolved in 5.0,category: build/install,5.0,2022-02-07 19:15:40+00:00
Using opencv with gradle documentation,feature,Not specified,2022-02-07 00:35:06+00:00
OpenCV2 and iOS - Cannot build ,category: build/install,Not specified,2022-02-05 14:36:25+00:00
The findContours documentation is missing some information,Uncategorized,Not specified,2022-01-31 13:18:50+00:00
Stitcher don't create panoramas for 16-bit /channel images,feature,Not specified,2022-01-29 11:33:51+00:00
"Traceback (most recent call last):  File ""f:\Jarvis\Sample genarator.py"", line 19, in <module>    faces = detector.detectMultiScale(converted_image, 1.3, 5)cv2.error: OpenCV(4.5.5) D:\a\opencv-python\opencv-python\opencv\modules\objdetect\src\cascadedetect.cpp:1689: error: (-215:Assertion failed) !empty() in function 'cv::CascadeClassifier::detectMultiScale'",question (invalid tracker),Not specified,2022-01-25 16:33:03+00:00
PyTorch->ONNX inference multi-batch error,bug,Not specified,2022-01-25 06:46:52+00:00
Failed nightly build master_noOCL_noICV_noSSE-win64-vc14-debug (2022-12-25),bug,4.11.0,2022-01-21 20:26:20+00:00
flipHoriz_single() defined in CV_SIMD128  but used in CV_SIMD,optimization,Not specified,2022-01-20 12:38:04+00:00
Laplacian operator yields different filtered results on PC and Arm machine,bug,Not specified,2022-01-20 10:31:22+00:00
OpenCV 4 mingw 8 failed procedure entry point could not be located in the dynamic link library libopencv_imgcodecs452.dll,question (invalid tracker),Not specified,2022-01-20 05:29:28+00:00
"In certain cases, MinAreaRect raises an error. (orientation != 0 in function 'rotatingCalipers')",bug,4.11.0,2022-01-20 00:58:48+00:00
Errant unhandledRejection handler in opencv.js causes Node process to crash on problems extraneous to the lib itself,category: javascript (js),Not specified,2022-01-19 23:10:55+00:00
Opencv installation directory for raspbian bullseye,duplicate,Not specified,2022-01-19 17:34:29+00:00
Correct averaging of colors,question (invalid tracker),Not specified,2022-01-18 17:17:42+00:00
INTER_AREA unexpected result,Uncategorized,Not specified,2022-01-18 15:51:17+00:00
What is the difference between CPU_BASELINE and CPU_DISPATCH ?   How do I use these options,question (invalid tracker),Not specified,2022-01-18 03:29:43+00:00
Licence not filled in correctly.,Uncategorized,Not specified,2022-01-17 14:05:52+00:00
"Do not accept FP16 target on old, incompatible Nvidia cards",category: gpu/cuda (contrib),Not specified,2022-01-17 08:45:21+00:00
Do not report for FP16 compatibility on old Nvidia cards,Uncategorized,Not specified,2022-01-17 08:43:51+00:00
Bug in CV assertion,incomplete,Not specified,2022-01-16 14:01:43+00:00
Clang ThinLTO support is broken,bug,Not specified,2022-01-16 08:12:39+00:00
Improving STL compatibility using template meta programming preview #20891,feature,5.0,2022-01-14 19:51:10+00:00
"libade.a does not get installed, but referenced in OpenCVModules.cmake with static build",duplicate,Not specified,2022-01-14 11:31:26+00:00
Opencv4.5.5 compilation error: opencv_cudacodec.dir/src/video_decoder.cpp.o failed,category: build/install,Not specified,2022-01-13 16:02:55+00:00
OpenCV 4.4 VideoCapture Memory Leak with Gstreamer,category: videoio,Not specified,2022-01-12 21:56:23+00:00
Video Capture stuck for a longtime,question (invalid tracker),Not specified,2022-01-12 17:55:49+00:00
Video Writer taking too long to write a single frame,question (invalid tracker),Not specified,2022-01-12 16:45:26+00:00
Slower grayscale png image loading than GDI+/Bitmap,question (invalid tracker),Not specified,2022-01-11 14:14:07+00:00
OpenCV4.5.5 compilation error: [modules/python3/CMakeFiles/opencv_python3.dir/all] Error 2,question (invalid tracker),Not specified,2022-01-10 13:12:14+00:00
Doesn't correctly recognize some QR,bug,Not specified,2022-01-10 12:29:16+00:00
opencv2/core/private.cuda.hpp:112: error: (-213:The function/feature is not implemented) The called functionality is disabled for current build or platform in function 'throw_no_cuda',question (invalid tracker),Not specified,2022-01-09 14:45:46+00:00
"""ImportError: dlopen: cannot load any more object with static TLS"" solution",category: 3rdparty,Not specified,2022-01-08 18:48:49+00:00
Feature/weighted hough,feature,4.11.0,2022-01-07 03:11:48+00:00
Panorama Image Stitcher returns error for high overlap images ,Uncategorized,Not specified,2022-01-06 17:07:03+00:00
"python: opencv 4.5.3 ,cv2.error: OpenCV(4.5.3) C:\Users\runneradmin\AppData\Local\Temp\pip-req-build-q3d_8t8e\opencv\modules\dnn\src\model.cpp:1216: error: (-215:Assertion failed) length > FLT_EPSILON in function 'cv::dnn::TextDetectionModel_DB_Impl::unclip'",question (invalid tracker),Not specified,2022-01-05 15:37:44+00:00
OpenCV does not compile with WITH_QT=6 and WITH_FFMPEG=ON,category: build/install,Not specified,2022-01-05 10:37:48+00:00
"Issues on OpenCV 4.5.5 compiling from scratch on newer macOS (Intel chip, macOS Monterey)",question (invalid tracker),Not specified,2022-01-05 01:00:11+00:00
32 bit builds tries to use `_mm256_extract_epi64` which is unavailable in gcc x86_32.,bug,Not specified,2022-01-04 21:32:10+00:00
